Timestamp,SparkMax/////d5751859-4355-482b-a16a-42e3d02e6c0b Applied Output,SparkMax/////d5751859-4355-482b-a16a-42e3d02e6c0b Primary Encoder Position
1738260785600,0.18056520279549546
1738260785772,,15283.0634765625
1738260785794,0.14977233191930905,
1738260785958,,15324.6201171875
1738260785978,0.11056459242530593,
1738260786102,,15344.9990234375
1738260786179,0.07043214209418011,
1738260786335,,15364.9775390625
1738260786389,0.07030884731589708,
1738260786530,,15382.958984375
1738260786550,-0.031224402600177004,
1738260786672,,15376.5654296875
1738260786697,-0.04697531052583391,
1738260786822,,15367.375
1738260786841,-0.06306527909176915,
1738260786973,,15352.5908203125
1738260786992,-0.07992584002197331,
1738260787137,,15334.2099609375
1738260787156,-0.09644734031189915,
1738260787284,,15314.630859375
1738260787303,-0.10393749809259314,
1738260787431,,15289.8564453125
1738260787473,-0.12579149754325997,
1738260787606,,15254.6923828125
1738260787653,-0.14144993438520462,
1738260787779,,15219.5302734375
1738260787797,-0.1721811578722495,
1738260787919,,15184.3662109375
1738260787961,-0.17760612811670276,
1738260788106,,15141.2119140625
1738260788127,-0.18429486983855706,
1738260788256,,15087.6669921875
1738260788276,-0.20775170140690327,
1738260788404,,15042.513671875
1738260788428,-0.20997100741599778,
1738260788549,,14988.1708984375
1738260788569,-0.23755821405682542,
1738260788704,,14935.42578125
1738260788749,-0.2557750175481429,
1738260788870,,14861.103515625
1738260788889,-0.28431775872066406,
1738260789013,,14799.5673828125
1738260789031,-0.2893111972411267,
1738260789170,,14727.2431640625
1738260789191,-0.29131473738822594,
1738260789323,,14661.7109375
1738260789343,-0.3228165532395397,
1738260789492,,14569.4072265625
1738260789513,-0.3294128238776818,
1738260789640,,14495.0849609375
1738260789660,-0.3526847132786034,
1738260789786,,14404.779296875
1738260789808,-0.3665553758354441,
1738260789931,,14322.865234375
1738260789950,-0.38597430341502115,
1738260790103,,14222.9677734375
1738260790181,-0.3922623371074556,
1738260790316,,14079.91796875
1738260790338,-0.4340592669454023,
1738260790473,,13966.037109375
1738260790521,-0.4672563859981078,
1738260790650,,13828.580078125
1738260790699,-0.49225440229499184,
1738260790823,,13700.3134765625
1738260790850,-0.5302291940061646,
1738260790973,,13563.65625
1738260790993,-0.5410483108005004,
1738260791117,,13440.9833984375
1738260791140,-0.5548265022736288,
1738260791261,,13314.31640625
1738260791282,-0.5745844904934843,
1738260791403,,13184.8515625
1738260791422,-0.5787148655659656,
1738260791555,,13037.4052734375
1738260791575,-0.5771428571428571,
1738260791710,,12889.5595703125
1738260791729,-0.5763414410840174,
1738260791868,,12741.7138671875
1738260791887,-0.5736906033509322,
1738260792009,,12612.2490234375
1738260792030,-0.5779442732016967,
1738260792166,,12462.404296875
1738260792186,-0.5937260048219244,
1738260792338,,12309.36328125
1738260792480,-0.6018326364940335,
1738260792617,,12038.8916015625
1738260792695,-0.7192092654194768,
1738260792816,,11808.3115234375
1738260792896,-0.7681881160924099,
1738260793067,,11484.458984375
1738260793117,-0.7695135349589525,
1738260793397,,11044.115234375
1738260793419,-0.8851332132938626,
1738260793647,,10651.80859375
1738260793693,-0.9589251380962552,
1738260793831,,10368.3876953125
1738260793881,-0.983337504196295,
1738260794088,,9952.462890625
1738260794111,-0.98435468611713,
1738260794231,,9728.6884765625
1738260794254,-0.989039887691885,
1738260794378,,9505.3134765625
1738260794399,-0.9898413037507247,
1738260794532,,9249.5146484375
1738260794553,-0.9835224463637194,
1738260794673,,9025.7392578125
1738260794697,-0.9892864772484511,
1738260794828,,8769.9404296875
1738260794848,-0.9887008270516067,
1738260794973,,8546.1650390625
1738260794992,-0.9838923306985685,
1738260795123,,8322.390625
1738260795143,-0.9873445844904933,
1738260795266,,8066.1904296875
1738260795284,-0.994249092074343,
1738260795406,,7842.416015625
1738260795425,-0.9862657551805168,
1738260795556,,7618.640625
1738260795576,-0.99005706961272,
1738260795698,,7394.4658203125
1738260795717,-0.9915057832575456,
1738260795853,,7138.666015625
1738260795875,-0.9861732840968046,
1738260796006,,6882.46630859375
1738260796026,-0.9993966490676593,
1738260796148,,6658.69140625
1738260796167,-0.9934784997100741,
1738260796288,,6434.9169921875
1738260796309,-0.9865123447370829,
1738260796439,,6211.14208984375
1738260796460,-0.9972081667531356,
1738260796583,,5986.685546875
1738260796605,-0.9950505081331826,
1738260796738,,5731.119140625
1738260796759,-0.9883309427167576,
1738260796946,,5411.56103515625
1738260796968,-0.9875911740470594,
1738260797160,,5059.6064453125
1738260797181,-0.9839231543931393,
1738260797371,,4707.65234375
1738260797393,-0.9946189764091921,
1738260797635,,4307.30419921875
1738260797682,-0.9381807916501357,
1738260797842,,4018.5419921875
1738260797888,-0.8321472823267311,
1738260798093,,3722.98046875
1738260798114,-0.8259825434125796,
1738260798249,,3469.41357421875
1738260798333,-0.6981875057222204,
1738260798463,,3249.042236328125
1738260798575,-0.6498559526352732,
1738260798702,,3001.07470703125
1738260798721,-0.5745536667989135,
1738260798866,,2839.8955078125
1738260798940,-0.546565752128666,
1738260799127,,2647.5205078125
1738260799148,-0.5492782372508926,
1738260799287,,2485.94189453125
1738260799451,-0.4543104342783898,
1738260799573,,2289.567138671875
1738260799593,-0.33437543870357367,
1738260799741,,2205.17822265625
1738260799787,-0.33311166722617264,
1738260800003,,2080.79443359375
1738260800052,-0.276457716605121,
1738260800201,,1998.0052490234375
1738260800248,-0.20963194677571945,
1738260800409,,1932.813720703125
1738260800430,-0.18065767387920773,
1738260800554,,1899.218017578125
1738260800627,-0.14351512192144533,
1738260800781,,1859.223388671875
1738260800801,-0.11139683217871638,
1738260800948,,1829.2271728515625
1738260800969,-0.09493697927793206,
1738260801090,,1813.229248046875
1738260801110,-0.06294198431348612,
1738260801249,,1800.8309326171875
1738260801269,-0.04737601855525375,
1738260801390,,1794.4317626953125
1738260801409,-0.031532639545884575,
1738260801533,,1790.4322509765625
1738260801552,-0.02364177373577074,
1738260801672,,1788.032470703125
1738260801691,-0.0077675710318308045,
1738260801812,,1788.032470703125
1738260801862,0,
1738260801997,,1788.032470703125
1738260802025,0.0077675710318308045,
1738260802167,,1788.032470703125
1738260802205,0.0077367473372600476,
1738260802339,,1790.4322509765625
1738260802359,0.023518478957487713,
1738260802480,,1794.0318603515625
1738260802499,0.03942350535599841,
1738260802632,,1801.2308349609375
1738260802676,0.03933103427228614,
1738260802798,,1811.2294921875
1738260802846,0.07154179509872736,
1738260802966,,1829.6270751953125
1738260802985,0.07977172154911953,
1738260803105,,1844.42529296875
1738260803183,0.10301278725547043,
1738260803306,,1878.020751953125
1738260803361,0.16737266151921137,
1738260803518,,1926.0145263671875
1738260803539,0.19770317697683643,
1738260803661,,1976.8079833984375
1738260803679,0.21681386761070587,
1738260803801,,2024.8017578125
1738260803850,0.23999328592791525,
1738260803973,,2093.19287109375
1738260803992,0.27433088167973874,
1738260804115,,2153.18505859375
1738260804135,0.29106814783165985,
1738260804284,,2227.17529296875
1738260804328,0.3046613971373638,
1738260804451,,2316.36376953125
1738260804551,0.3333274330881679,
1738260804715,,2458.34521484375
1738260804761,0.3807034516434217,
1738260804902,,2572.730224609375
1738260804921,0.4516287728507339,
1738260805066,,2705.912841796875
1738260805085,0.4859971922971281,
1738260805204,,2799.900634765625
1738260805279,0.5035666982024597,
1738260805402,,2961.879638671875
1738260805446,0.5311230811487166,
1738260805584,,3116.659423828125
1738260805602,0.5596966460158085,
1738260805722,,3242.2431640625
1738260805740,0.573474837488937,
1738260805887,,3409.42138671875
1738260806042,0.588578447828608,
1738260806164,,3654.9892578125
1738260806185,0.6880156865138706,
1738260806315,,3830.56640625
1738260806360,0.7297509689626758,
1738260806480,,4015.34228515625
1738260806501,0.7781749931333353,
1738260806620,,4187.3203125
1738260806640,0.7793771172215948,
1738260806770,,4387.69384765625
1738260806788,0.788624225592822,
1738260806911,,4564.07080078125
1738260806930,0.7932169560838648,
1738260807064,,4740.44775390625
1738260807083,0.7909360026856287,
1738260807218,,4942.021484375
1738260807236,0.7886550492873927,
1738260807359,,5118.3984375
1738260807377,0.7866206854457227,
1738260807499,,5294.77587890625
1738260807516,0.7967925046540726,
1738260807639,,5471.15283203125
1738260807657,0.7889632862331003,
1738260807778,,5647.9296875
1738260807796,0.788870815149388,
1738260807920,,5824.306640625
1738260808128,0.788100222785119,
1738260808367,,6304.0146484375
1738260808421,0.7914908291879024,
1738260808632,,6683.11083984375
1738260808682,0.6687817011017181,
1738260808933,,6919.69482421875
1738260809009,0.31202826013977475,
1738260809148,,7057.40283203125
1738260809170,0.20389873958555862,
1738260809327,,7109.443359375
1738260809372,0.1748319956053346,
1738260809536,,7157.880859375
1738260809558,0.13639484847560043,
1738260809699,,7189.505859375
1738260809718,0.07937101351969969,
1738260809838,,7204.3173828125
1738260809857,0.06343516342661823,
1738260809977,,7215.92626953125
1738260809994,0.06325022125919369,
1738260810113,,7227.53564453125
1738260810130,0.06312692648091066,
1738260810254,,7239.14453125
1738260810272,0.06318857387005218,
1738260810392,,7250.75341796875
1738260810413,0.06334269234290596,
1738260810549,,7264.3642578125
1738260810568,0.06392834253975035,
1738260810688,,7275.97314453125
1738260810706,0.06343516342661823,
1738260810827,,7287.58251953125
1738260810847,0.06328104495376445,
1738260810981,,7299.19140625
1738260810999,0.06294198431348612,
1738260811121,,7310.80029296875
1738260811139,0.06315775017548142,
1738260811285,,7322.81005859375
1738260811304,0.06281868953520309,
1738260811424,,7333.61865234375
1738260811442,0.031532639545884575,
1738260811562,,7338.421875
1738260811580,0.02358012634662923,
1738260811706,,7341.625
1738260811724,0.023518478957487713,
1738260811865,,7343.22607421875
1738260811884,0.0077675710318308045,
1738260812004,,7343.22607421875
1738260812022,0,
1738260812140,,7343.22607421875
1738260812158,-0.0077675710318308045,
1738260812285,,7343.22607421875
1738260812303,-0.0077675710318308045,
1738260812420,,7343.22607421875
1738260812438,-0.0077675710318308045,
1738260812561,,7343.22607421875
1738260812581,-0.0077675710318308045,
1738260812706,,7343.22607421875
1738260812728,0,
1738260812846,,7343.22607421875
1738260812865,0.0077367473372600476,
1738260812998,,7343.22607421875
1738260813016,0.0077675710318308045,
1738260813139,,7343.22607421875
1738260813158,0.0077675710318308045,
1738260813277,,7343.22607421875
1738260813295,0.0077367473372600476,
1738260813416,,7343.22607421875
1738260813432,0.0077675710318308045,
1738260813554,,7343.22607421875
1738260813571,0.0077675710318308045,
1738260813693,,7343.22607421875
1738260813711,0.0077367473372600476,
1738260813847,,7343.22607421875
1738260813864,0.0077675710318308045,
1738260813984,,7343.22607421875
1738260814001,0,
1738260814124,,7343.22607421875
1738260814143,0,
1738260814264,,7343.22607421875
1738260814281,0,
1738260814405,,7343.22607421875
1738260814423,0,
1738260814541,,7343.22607421875
1738260814562,0,
1738260814685,,7343.22607421875
1738260814705,0,
1738260814828,,7343.22607421875
1738260814845,0,
1738260814965,,7343.22607421875
1738260814986,0,
1738260815105,,7343.22607421875
1738260815124,0,
1738260815257,,7343.22607421875
1738260815277,0,
1738260815407,,7343.22607421875
1738260815430,0,
1738260815552,,7343.22607421875
1738260815570,0,
